State,Year,ALC Rate (%),Question,Cups of Coffee
Michigan,2011,753.0,Chronic liver disease mortality,2.52
Michigan,2013,429.0,Chronic liver disease mortality,2.52
Michigan,2012,0.0,Local authority to regulate alcohol outlet density,2.52
Michigan,2015,0.0,Alcohol use before pregnancy,2.52
Michigan,2019,10.9,Binge drinking prevalence among youth,2.52
Michigan,2020,18.2,Chronic liver disease mortality,2.52
Michigan,2015,0.0,Alcohol use among youth,2.52
Michigan,2012,0.0,Chronic liver disease mortality,2.52
Michigan,2019,0.0,Chronic liver disease mortality,2.52
Michigan,2019,556.0,Chronic liver disease mortality,2.52
Michigan,2013,10.0,Chronic liver disease mortality,2.52
Michigan,2020,12.2,Chronic liver disease mortality,2.52
Michigan,2017,14.8,Binge drinking prevalence among youth,2.52
Michigan,2015,7.6,Chronic liver disease mortality,2.52
Michigan,2016,55.0,Chronic liver disease mortality,2.52
Michigan,2017,70.4,Alcohol use before pregnancy,2.52
Michigan,2014,7.0,Chronic liver disease mortality,2.52
Michigan,2013,0.0,Chronic liver disease mortality,2.52
Michigan,2013,0.0,Alcohol use before pregnancy,2.52
Delaware,2015,55.6,Alcohol use before pregnancy,2.44
Delaware,2010,77.0,Chronic liver disease mortality,2.44
Delaware,2016,46.0,Chronic liver disease mortality,2.44
Delaware,2019,0.0,Chronic liver disease mortality,2.44
Delaware,2020,30.2,Alcohol use before pregnancy,2.44
Delaware,2012,0.0,Alcohol use before pregnancy,2.44
Delaware,2012,0.0,Chronic liver disease mortality,2.44
Delaware,2017,0.0,Alcohol use before pregnancy,2.44
Delaware,2016,31.1,Alcohol use before pregnancy,2.44
Delaware,2010,93.0,Chronic liver disease mortality,2.44
Delaware,2015,11.7,Chronic liver disease mortality,2.44
Delaware,2013,12.7,Chronic liver disease mortality,2.44
Delaware,2013,20.4,Binge drinking prevalence among youth,2.44
Delaware,2016,0.0,Chronic liver disease mortality,2.44
Delaware,2018,0.0,Chronic liver disease mortality,2.44
Delaware,2012,8.0,Chronic liver disease mortality,2.44
Delaware,2019,0.0,Alcohol use before pregnancy,2.44
Delaware,2017,0.0,Chronic liver disease mortality,2.44
Delaware,2012,0.0,Chronic liver disease mortality,2.44
Delaware,2012,0.0,Chronic liver disease mortality,2.44
Delaware,2013,0.0,Alcohol use before pregnancy,2.44
Delaware,2012,63.0,Chronic liver disease mortality,2.44
Delaware,2014,9.1,Chronic liver disease mortality,2.44
Delaware,2014,0.0,Chronic liver disease mortality,2.44
Delaware,2018,8.4,Chronic liver disease mortality,2.44
Delaware,2015,0.0,Chronic liver disease mortality,2.44
Delaware,2019,0.0,Alcohol use among youth,2.44
West Virginia,2019,394.0,Chronic liver disease mortality,2.35
West Virginia,2017,0.0,Alcohol use among youth,2.35
West Virginia,2020,0.0,Alcohol use before pregnancy,2.35
West Virginia,2019,0.0,Binge drinking prevalence among youth,2.35
West Virginia,2017,29.6,Alcohol use among youth,2.35
West Virginia,2015,0.0,Alcohol use before pregnancy,2.35
West Virginia,2017,16.4,Binge drinking prevalence among youth,2.35
Ohio,2019,22.5,Alcohol use among youth,2.16
Ohio,2015,1333.0,Chronic liver disease mortality,2.16
Ohio,2021,11.2,Heavy drinking among women aged 18-44 years,2.16
