State,tobacco_consumption,coffee_consumption,Depression_Percentage
Arizona,23.982904884318767,1.3,17.740000000000002
Arkansas,26.7906015037594,2.12,23.43703703703704
Delaware,24.22554002541296,2.44,17.084
Georgia,24.89607843137255,1.54,16.865000000000002
Hawaii,23.7656050955414,1.5200000000000002,11.795454545454543
Kansas,25.739285714285714,2.07,18.99375
Louisiana,26.641781681304895,2.03,20.45714285714286
Maine,26.461653116531167,2.05,23.59166666666667
Maryland,23.405365853658537,1.57,15.963157894736844
Massachusetts,23.906030150753768,1.51,19.09583333333333
Michigan,26.286828644501277,2.52,20.98421052631579
Minnesota,25.026060606060607,1.32,18.526666666666664
Mississippi,27.787289234760053,1.58,19.70952380952381
Nebraska,25.296750902527073,2.13,17.566666666666666
Ohio,26.105346294046175,2.16,20.34444444444444
Utah,22.965323565323562,1.29,22.516666666666666
Wisconsin,25.008354114713217,1.5199999999999998,19.272727272727277
